Ticker,NFLX,NFLX,NFLX,NFLX,NFLX,META,META,META,META,META,GOOG,GOOG,GOOG,GOOG,GOOG,AMZN,AMZN,AMZN,AMZN,AMZN,AAPL,AAPL,AAPL,AAPL,AAPL
Price,Open,High,Low,Close,Volume,Open,High,Low,Close,Volume,Open,High,Low,Close,Volume,Open,High,Low,Close,Volume,Open,High,Low,Close,Volume
Datetime,,,,,,,,,,,,,,,,,,,,,,,,,
2025-11-07 14:30:00+00:00,1094.175048828125,1108.219970703125,1087.800048828125,1101.5699462890625,555821,616.4849853515625,617.4000244140625,603.6901245117188,606.5928955078125,7313599,284.17999267578125,284.5,276.3900146484375,278.7900085449219,4694504,242.89999389648438,243.1699981689453,239.14999389648438,240.9499969482422,8509805,269.7950134277344,272.2900085449219,267.2699890136719,271.5799865722656,7855390
2025-11-07 15:30:00+00:00,1101.5899658203125,1103.8900146484375,1090.380126953125,1092.3900146484375,309383,606.739990234375,607.5,601.2000122070312,604.5499877929688,3038387,278.760986328125,279.11248779296875,276.3699951171875,277.1709899902344,2407170,240.97000122070312,241.2100067138672,239.1999969482422,240.00999450683594,3329016,271.55999755859375,271.9700012207031,269.4800109863281,269.5299987792969,3991205
2025-11-07 16:30:00+00:00,1092.2149658203125,1097.06005859375,1087.6700439453125,1090.6939697265625,253578,604.4400024414062,609.0999755859375,602.5599975585938,608.219970703125,2213507,277.17498779296875,278.2699890136719,275.739990234375,277.8699951171875,1326205,240.0,240.13999938964844,238.49000549316406,239.75999450683594,2366012,269.5199890136719,269.8900146484375,268.32000732421875,269.1099853515625,3276263
2025-11-07 17:30:00+00:00,1090.8798828125,1095.7598876953125,1087.5,1095.530029296875,236611,608.1099853515625,613.2000122070312,606.5399780273438,612.8026733398438,1706288,277.8500061035156,278.3629150390625,277.07000732421875,278.1033935546875,961157,239.74000549316406,240.8300018310547,239.3000030517578,240.5500030517578,1973604,269.114990234375,269.1400146484375,268.0588073730469,268.45001220703125,2041690
2025-11-07 18:30:00+00:00,1095.550048828125,1097.083740234375,1092.75,1096.1099853515625,144383,612.844970703125,615.389892578125,611.22998046875,614.9080200195312,1435624,278.1000061035156,278.3900146484375,277.0400085449219,277.82000732421875,887889,240.53500366210938,241.66000366210938,240.2100067138672,241.48989868164062,3858846,268.45001220703125,268.6600036621094,267.0950012207031,267.25,2217548
2025-11-07 19:30:00+00:00,1096.0999755859375,1103.2900390625,1095.81005859375,1101.3900146484375,259746,614.97998046875,620.5,614.7000732421875,618.3499755859375,1869908,277.8599853515625,280.0899963378906,277.8599853515625,278.9909973144531,1213164,241.49000549316406,243.82000732421875,241.49000549316406,243.3699951171875,3687165,267.260009765625,268.5,266.7799987792969,267.7598876953125,3921327
2025-11-07 20:30:00+00:00,1101.4000244140625,1104.4100341796875,1098.050048828125,1103.3800048828125,278871,618.344970703125,622.1300048828125,617.6300048828125,621.5999755859375,1475525,278.989990234375,279.82000732421875,278.79998779296875,279.6300048828125,1389312,243.41000366210938,244.89999389648438,243.3800048828125,244.41000366210938,3082318,267.760009765625,268.5799865722656,267.69000244140625,268.4200134277344,3276821
2025-11-10 14:30:00+00:00,1107.0999755859375,1128.18994140625,1104.113037109375,1124.7950439453125,720526,631.3900146484375,634.9600219726562,623.2999877929688,633.83740234375,3873187,285.2099914550781,290.42999267578125,283.5400085449219,288.7200012207031,4164797,248.30999755859375,251.75,247.99000549316406,248.02999877929688,7213922,268.95001220703125,273.7300109863281,268.95001220703125,271.85699462890625,7030981
