Ticker,GOOG,GOOG,GOOG,GOOG,GOOG,NFLX,NFLX,NFLX,NFLX,NFLX,AMZN,AMZN,AMZN,AMZN,AMZN,AAPL,AAPL,AAPL,AAPL,AAPL,META,META,META,META,META
Price,Open,High,Low,Close,Volume,Open,High,Low,Close,Volume,Open,High,Low,Close,Volume,Open,High,Low,Close,Volume,Open,High,Low,Close,Volume
Datetime,,,,,,,,,,,,,,,,,,,,,,,,,
2026-04-27 14:30:00+01:00,343.8399963378906,348.739990234375,340.80999755859375,348.614990234375,5593707,92.05000305175781,92.82890319824219,91.30000305175781,92.80999755859375,6971012,263.42498779296875,264.1499938964844,260.3399963378906,262.19500732421875,13301077,266.0899963378906,268.3599853515625,265.07000732421875,267.3599853515625,10219067,670.9949951171875,678.77001953125,670.8400268554688,676.1599731445312,3160421
2026-04-27 15:30:00+01:00,348.6400146484375,349.54998779296875,347.684814453125,348.29998779296875,1854727,92.80500030517578,92.83999633789062,92.41999816894531,92.68080139160156,3403780,262.18499755859375,263.0111999511719,260.7300109863281,261.31500244140625,5554207,267.3900146484375,267.79998779296875,266.6199951171875,267.1099853515625,3251687,676.2575073242188,682.5,675.0999755859375,676.510009765625,1940233
2026-04-27 16:30:00+01:00,348.32818603515625,349.6499938964844,347.9200134277344,349.4649963378906,993923,92.6874008178711,92.7052001953125,92.22000122070312,92.30999755859375,2559959,261.3299865722656,263.1300048828125,260.95001220703125,263.07000732421875,4033071,267.1400146484375,267.6400146484375,266.260009765625,266.2950134277344,2679704,676.5800170898438,676.8900146484375,672.989990234375,675.2650146484375,1461100
2026-04-27 17:30:00+01:00,349.4649963378906,350.17999267578125,349.0950012207031,349.9800109863281,1169936,92.30500030517578,92.31999969482422,92.0199966430664,92.06999969482422,1874179,263.0799865722656,263.4700012207031,262.2699890136719,262.75,3993728,266.2900085449219,267.0299987792969,266.2900085449219,266.8399963378906,2950643,675.25,680.0800170898438,675.25,680.0449829101562,963866
2026-04-27 18:30:00+01:00,349.98699951171875,350.8900146484375,349.93499755859375,350.3999938964844,1040539,92.06500244140625,92.15499877929688,91.88970184326172,91.95500183105469,1953518,262.7349853515625,262.9700012207031,261.42999267578125,261.7300109863281,3181435,266.8299865722656,267.04998779296875,266.0899963378906,266.34991455078125,2558668,680.0125122070312,680.5800170898438,678.4500122070312,678.9099731445312,854364
2026-04-27 19:30:00+01:00,350.385009765625,350.6400146484375,349.6300048828125,350.1300048828125,1037969,91.94999694824219,91.96499633789062,91.34500122070312,91.83499908447266,4435770,261.7200012207031,261.9674072265625,260.9530029296875,261.0199890136719,4294920,266.3500061035156,267.2149963378906,266.1300048828125,267.1499938964844,2713356,678.8900146484375,679.8800048828125,676.635009765625,678.6400146484375,990750
2026-04-27 20:30:00+01:00,350.135986328125,350.56500244140625,348.3800048828125,348.510009765625,1566026,91.83999633789062,91.83999633789062,91.3499984741211,91.38999938964844,4131193,261.0199890136719,261.29998779296875,260.7900085449219,261.0799865722656,4677048,267.1600036621094,267.9599914550781,267.04998779296875,267.67999267578125,4077895,678.6400146484375,680.0,677.1500244140625,678.4600219726562,1132318
2026-04-28 14:30:00+01:00,346.92999267578125,349.83990478515625,344.2799987792969,349.3299865722656,4608154,91.4000015258789,91.62999725341797,90.0199966430664,90.84500122070312,8269857,258.4200134277344,261.0299987792969,256.6499938964844,259.9800109863281,10724715,272.3349914550781,273.2200012207031,268.6600036621094,271.2799072265625,9095136,674.4149780273438,678.1799926757812,669.8900146484375,672.760009765625,2607553
